barcode	name	calories	protein	carbs	fat	source
0029200002126	Spaghetti	357	12.5	73.2	1.8	nutrition.aggregated_set
0029200002133	Elbows enriched macaroni product	357	12.5	73.2	1.8	nutrition.aggregated_set
00299589	Marks & Spencer Dark chocolate Jaffa cakes 00299589 Jaffa Cakes mit dunkler Schokolade	407	3.9	66.6	13.4	nutrition.aggregated_set
0030000000052	Rapsöl	385	17.1	63.4	7.9	nutrition.aggregated_set
0030000010204	Quaker Oats Old Fashioned Oatmeal 18 Ounce Paper Cannister	375	12.5	67.5	7.5	nutrition.aggregated_set
0030000011904	Instant Oatmeal - Maple & Brown Sugar	372	9.3	76.7	4.7	nutrition.aggregated_set
0030800009736	Zuckerstange mit Pefferminzgeschmack	396	0	99	0	nutrition.aggregated_set
0030891052819	Rice flakes sheet	196	3	46	0	nutrition.aggregated_set
0031146211005	Sweet Potato Snack	470	4	74	17	nutrition.aggregated_set
0031146254903	Shincup: nudelsuppe	98	1.9	15.5	3.1	nutrition.aggregated_set
0032134235010	Jelly Beans	350	0	85	0	nutrition.aggregated_set
0033200011101	Pure Baking Soda	0	0	0	0	nutrition.input_sets[0]
0033748000124	Mango Nektar	58	0	14.6	0	nutrition.aggregated_set
0033984017603	Fish Omega-3	11	0.5	0	1	nutrition.aggregated_set
0034000124138	Spreads - Peanut Butter Chocolate	514	8.1	56.8	32.4	nutrition.aggregated_set
0034000441082	Reese‘s peanut butter cups	538	10.9	52.6	29.9	nutrition.aggregated_set
0034500151924	Land O Lakes Salted Butter	714	0	0	78.6	nutrition.aggregated_set
0034695124048	Rotisserie Chicken	155	22.6	3.6	4.8	nutrition.aggregated_set
0036200002186	Double cheddar sauce, double cheddar	148	3.3	1.6	13.1	nutrition.aggregated_set
0036200004821	Pommersche Feine Gutsleberwurst	70	1.6	9.3	2.3	nutrition.aggregated_set
0036200005507	Homemade Style Pizza Sauce	56	1.6	9.5	0.8	nutrition.aggregated_set
0037600106009	Extra Smooth Creamy Peanut Butter	605	26.9	16.6	43.4	nutrition.aggregated_set
0037600106412	Extra Crunchy Erdnusscreme	603	27.5	15.6	43.9	nutrition.aggregated_set
0037600209571	Spam	292	15	3.2	24.3	nutrition.aggregated_set
0038000138416	Pringles Original	503	6.2	50	31	nutrition.aggregated_set
0038000139277	Screamin' Dill Pickle	536	3.6	57.1	32.1	nutrition.aggregated_set
0038274516118	Bavarian Style Sauerkraut With Wine	24	1.1	4.9	0	nutrition.aggregated_set
0038900001438	Pineapple Slices In 100% Pineapple Jucie	53	0.9	13.2	0	nutrition.aggregated_set
0038900004736	Dole pineapple chunks	57	0.8	13.1	0	nutrition.aggregated_set
0038900006136	Crushed Pineapple	51	0.7	12.1	0	nutrition.aggregated_set
0038900012267	Ananas	65	0.4	14.9	0.1	nutrition.aggregated_set
0038900014124	Ananasstücke	65	0.4	15	0.1	nutrition.aggregated_set
0038900014261	Ananasstücke	65	0.4	15	0.1	nutrition.aggregated_set
0038900092795	Ananas in Saft Resealable Fridge Pack	61	0.4	13.8	0.1	nutrition.aggregated_set
0039000045049	Pure Pumpkin Puree	37	0.8	8.2	0.4	nutrition.aggregated_set
0039047001107	Pure Butter Shortbread	524	4.8	61.9	28.6	nutrition.aggregated_set
0039047001138	Pure Butter Shortbread	533	5.6	58.4	30	nutrition.aggregated_set
0039047001152	Pure Butter Shortbread	526	5.3	44.6	31.6	nutrition.aggregated_set
0039047001404	Pure Butter : Shortbread Rounds	529	5.6	58.2	30	nutrition.aggregated_set
0039047001824	Chocolate Chip Shortbread	518	5.2	61.3	27.6	nutrition.aggregated_set
0039047005426	Stem Ginger Biscuits	506	4.3	64.5	25.2	nutrition.aggregated_set
